regParam,elasticNetParam,mean_recall,mean_f1
0.01,0.0,0.578519373023388,0.6593797494922891
0.01,0.5,0.5967738215917142,0.6679571845518819
0.1,0.0,0.5587528815833113,0.6304969405612336
0.1,0.5,0.6204703556853147,0.6629665587083517
1.0,0.0,0.6024934950490888,0.6276237404260991
1.0,0.5,1.0,0.6349762890024802
